"Cantidad a la mano","Cantidad pronosticada","Categoría del producto","Costo","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Tipo de producto"
"0.0","0.0","Materiales","20.0","","","","Deditos De Pollo Empanizados Pollo Campero","27.25","MAT-021","Bienes"
"0.0","0.0","Materiales","32.36","","","","Estante metálico","1.0","MAT-022","Bienes"
"0.0","0.0","Materiales","111.17","","","","Gaveta plástica","1.0","MAT-023","Bienes"
"0.0","0.0","Materiales","6.02","","","","Extintor","1.0","MAT-024","Bienes"
"0.0","0.0","Materiales","82.54","","","","KIT-DIQUIVA","1.0","MAT-025","Bienes"
"0.0","0.0","Materiales","96.05","","","","Escoba","1.0","MAT-026","Bienes"
"0.0","0.0","Materiales","26.22","","","","Trapeador","1.0","MAT-027","Bienes"
"0.0","0.0","Materiales","38.78","","","","Cubeta plástica","1.0","MAT-028","Bienes"
"0.0","0.0","Materiales","29.24","","","","Desinfectante en spray","1.0","MAT-029","Bienes"
"0.0","0.0","Materiales","91.74","","","","Bolsa para basura industrial","1.0","MAT-030","Bienes"
"0.0","0.0","Materiales","114.33","","","","Letrero de piso mojado","1.0","MAT-031","Bienes"
"0.0","0.0","Materiales","51.21","","","","Chaleco reflectivo","1.0","MAT-032","Bienes"
"0.0","0.0","Materiales","113.95","","","","Casco de seguridad","1.0","MAT-033","Bienes"
"0.0","0.0","Materiales","27.13","","","","Candado de Acero Inoxidable Gancho Corto para Seguridad de 60 mm","1.0","MAT-034","Bienes"
"0.0","0.0","Materiales","8.12","","","","Cinta de seguridad","1.0","MAT-035","Bienes"
"0.0","0.0","Materiales","48.41","","","","Extensión eléctrica","1.0","MAT-036","Bienes"
"0.0","0.0","Materiales","88.46","","","","Foco LED","1.0","MAT-037","Bienes"
"0.0","0.0","Materiales","111.93","","","","Regleta eléctrica","1.0","MAT-038","Bienes"
"0.0","0.0","Materiales","23.89","","","","Radio walkie-talkie","1.0","MAT-039","Bienes"
"0.0","0.0","Materiales","100.0","","","","Báscula digital de precisión 3kg Truper","190.0","MAT-040","Bienes"
"0.0","0.0","Materiales","21.97","","","","Lector de código de barras","1.0","MAT-041","Bienes"
"0.0","0.0","Materiales","35.02","","","","Impresora térmica","1.0","MAT-042","Bienes"
"0.0","0.0","Materiales","114.75","","","","Rollo de etiquetas térmicas","1.0","MAT-043","Bienes"
"0.0","0.0","Materiales","500.0","","","","Caja de Seguridad Electrónica Pequeña","609.99","MAT-044","Bienes"
"0.0","0.0","Materiales","99.0","","","","Silla de oficina","1.0","MAT-045","Bienes"
"0.0","0.0","Materiales","7.81","","","","Escritorio metálico","1.0","MAT-046","Bienes"
"0.0","0.0","Materiales","45.98","","","","Archivador de 4 gavetas","1.0","MAT-047","Bienes"
"0.0","0.0","Materiales","24.78","","","","Termómetro digital","1.0","MAT-048","Bienes"
"0.0","0.0","Materiales","5.57","","","","Kit de limpieza","1.0","MAT-049","Bienes"
"0.0","0.0","Materiales","97.8","","","","Trapo industrial","1.0","MAT-050","Bienes"
"0.0","0.0","Materiales","6.8","","","","Guante de carnicería","1.0","MAT-051","Bienes"
"0.0","0.0","Materiales","9.38","","","","Malla para exhibición","1.0","MAT-052","Bienes"
"0.0","0.0","Materiales","32.33","","","","Gancho de exhibición","1.0","MAT-053","Bienes"
"0.0","0.0","Materiales","108.03","","","","Vitrina refrigerada (repuesto)","1.0","MAT-054","Bienes"
"0.0","0.0","Materiales","34.13","","","","Filtro de refrigeración","1.0","MAT-055","Bienes"
"0.0","0.0","Materiales","32.94","","","","Cinta métrica","1.0","MAT-056","Bienes"
"0.0","0.0","Materiales","2.45","","","","Cúter industrial","1.0","MAT-057","Bienes"
"0.0","0.0","Materiales","4.86","","","","Rollo de plástico film","1.0","MAT-058","Bienes"
"0.0","0.0","Materiales","58.07","","","","Sello de precios","1.0","MAT-059","Bienes"
"0.0","0.0","Materiales","114.56","","","","Tinta para sello","1.0","MAT-060","Bienes"
"0.0","0.0","Materiales","111.52","","","","Formulario de inventario","1.0","MAT-061","Bienes"
"0.0","0.0","Materiales","96.7","","","","Tarjeta de presentación","1.0","MAT-062","Bienes"
"0.0","0.0","Materiales","99.09","","","","Gafete de identificación","1.0","MAT-063","Bienes"
"0.0","0.0","Materiales","73.66","","","","Cordón para gafete","1.0","MAT-064","Bienes"
